first_reading	second_reading	third_reading
2022-10-02T13:21Z;00:05;00:05	2022-10-02T13:28Z;00:20;00:20	2022-10-02T16:03Z;00:07;00:07
2022-10-02T13:21Z;00:10;00:05	2022-10-02T13:28Z;00:39;00:19	2022-10-02T16:03Z;00:13;00:05
2022-10-02T13:21Z;00:15;00:04	2022-10-02T13:28Z;01:00;00:20	2022-10-02T16:03Z;00:18;00:05
2022-10-02T13:21Z;00:20;00:04	2022-10-02T13:29Z;01:23;00:22	2022-10-02T16:03Z;00:23;00:05
2022-10-02T13:21Z;00:25;00:04	2022-10-02T13:29Z;01:44;00:21	2022-10-02T16:03Z;00:29;00:05
2022-10-02T13:21Z;00:30;00:04	2022-10-02T13:29Z;02:04;00:20	2022-10-02T16:03Z;00:35;00:05
2022-10-02T13:21Z;00:35;00:04	2022-10-02T13:30Z;02:26;00:21	2022-10-02T16:03Z;00:40;00:05
2022-10-02T13:21Z;00:39;00:04	2022-10-02T13:30Z;02:47;00:21	2022-10-02T16:04Z;00:45;00:05
2022-10-02T13:21Z;00:44;00:04	2022-10-02T13:31Z;03:11;00:24	2022-10-02T16:04Z;00:51;00:05
2022-10-02T13:21Z;00:49;00:04	2022-10-02T13:31Z;03:32;00:20	2022-10-02T16:04Z;00:56;00:05
2022-10-02T13:22Z;00:54;00:04	2022-10-02T13:31Z;03:55;00:22	2022-10-02T16:04Z;01:01;00:05
2022-10-02T13:22Z;00:59;00:04	2022-10-02T13:32Z;04:21;00:25	2022-10-02T16:04Z;01:07;00:05
2022-10-02T13:22Z;01:04;00:04	2022-10-02T13:32Z;04:48;00:27	2022-10-02T16:04Z;01:12;00:05
2022-10-02T13:22Z;01:09;00:04	2022-10-02T13:33Z;05:12;00:24	2022-10-02T16:04Z;01:17;00:05
2022-10-02T13:22Z;01:14;00:04	2022-10-02T13:33Z;05:36;00:23	2022-10-02T16:04Z;01:22;00:05
2022-10-02T13:22Z;01:19;00:05	2022-10-02T13:33Z;06:01;00:25	2022-10-02T16:04Z;01:27;00:05
2022-10-02T13:22Z;01:24;00:05	2022-10-02T13:34Z;06:27;00:25	2022-10-02T16:04Z;01:33;00:05
2022-10-02T13:22Z;01:30;00:05	2022-10-02T13:34Z;06:52;00:25	2022-10-02T16:04Z;01:38;00:05
2022-10-02T13:22Z;01:35;00:04	2022-10-02T13:35Z;07:17;00:25	2022-10-02T16:04Z;01:43;00:04
2022-10-02T13:22Z;01:40;00:05	2022-10-02T13:35Z;07:44;00:26	2022-10-02T16:05Z;01:48;00:04
2022-10-02T13:22Z;01:45;00:04	2022-10-02T13:36Z;08:08;00:24	2022-10-02T16:05Z;01:53;00:04
2022-10-02T13:22Z;01:50;00:04	2022-10-02T13:36Z;08:32;00:23	2022-10-02T16:05Z;01:58;00:05
2022-10-02T13:23Z;01:54;00:04	2022-10-02T13:36Z;08:55;00:23	2022-10-02T16:05Z;02:03;00:04
2022-10-02T13:23Z;01:59;00:05	2022-10-02T13:37Z;09:22;00:26	2022-10-02T16:05Z;02:08;00:05
2022-10-02T13:23Z;02:04;00:05	2022-10-02T13:37Z;09:45;00:23	2022-10-02T16:05Z;02:13;00:04
2022-10-02T13:23Z;02:09;00:04	2022-10-02T13:38Z;10:09;00:23	2022-10-02T16:05Z;02:18;00:05
2022-10-02T13:23Z;02:14;00:04	2022-10-02T13:38Z;10:32;00:23	2022-10-02T16:05Z;02:23;00:04
2022-10-02T13:23Z;02:18;00:04	2022-10-02T13:38Z;10:56;00:23	2022-10-02T16:05Z;02:28;00:05
2022-10-02T13:23Z;02:23;00:04	2022-10-02T13:39Z;11:19;00:22	2022-10-02T16:05Z;02:33;00:05
2022-10-02T13:23Z;02:28;00:05	2022-10-02T13:39Z;11:41;00:22	2022-10-02T16:05Z;02:38;00:05
2022-10-02T13:23Z;02:32;00:04	2022-10-02T13:39Z;12:05;00:23	2022-10-02T16:05Z;02:43;00:05
2022-10-02T13:23Z;02:37;00:04	2022-10-02T13:40Z;12:28;00:23	2022-10-02T16:06Z;02:48;00:05
2022-10-02T13:23Z;02:43;00:06	2022-10-02T13:40Z;12:52;00:23	2022-10-02T16:06Z;02:53;00:04
2022-10-02T13:23Z;02:49;00:05	2022-10-02T13:41Z;13:15;00:23	2022-10-02T16:06Z;02:58;00:04
2022-10-02T13:24Z;02:54;00:05	2022-10-02T13:41Z;13:39;00:24	2022-10-02T16:06Z;03:03;00:04
2022-10-02T13:24Z;02:59;00:04	2022-10-02T13:41Z;14:04;00:24	2022-10-02T16:06Z;03:08;00:05
2022-10-02T13:24Z;03:04;00:04	2022-10-02T13:42Z;14:27;00:23	2022-10-02T16:06Z;03:13;00:04
2022-10-02T13:24Z;03:08;00:04	2022-10-02T13:42Z;14:51;00:24	2022-10-02T16:06Z;03:18;00:04
2022-10-02T13:24Z;03:13;00:04	2022-10-02T13:43Z;15:15;00:24	2022-10-02T16:06Z;03:22;00:04
2022-10-02T13:24Z;03:18;00:04	2022-10-02T13:43Z;15:40;00:24	2022-10-02T16:06Z;03:27;00:04
2022-10-02T13:24Z;03:22;00:04	2022-10-02T13:43Z;16:04;00:23	2022-10-02T16:06Z;03:32;00:04
2022-10-02T13:24Z;03:27;00:04	2022-10-02T13:44Z;16:27;00:23	2022-10-02T16:06Z;03:37;00:04
2022-10-02T13:24Z;03:32;00:04	2022-10-02T13:44Z;16:52;00:24	2022-10-02T16:06Z;03:42;00:04
2022-10-02T13:24Z;03:37;00:04	2022-10-02T13:45Z;17:17;00:25	2022-10-02T16:07Z;03:47;00:04
2022-10-02T13:24Z;03:41;00:04	2022-10-02T13:45Z;17:41;00:23	2022-10-02T16:07Z;03:52;00:05
2022-10-02T13:24Z;03:46;00:04	2022-10-02T13:45Z;18:04;00:23	2022-10-02T16:07Z;03:57;00:05
2022-10-02T13:25Z;03:51;00:04	2022-10-02T13:46Z;18:26;00:22	2022-10-02T16:07Z;04:02;00:05
2022-10-02T13:25Z;03:57;00:06	2022-10-02T13:46Z;18:50;00:24	2022-10-02T16:07Z;04:07;00:05
2022-10-02T13:25Z;04:06;00:09	2022-10-02T13:47Z;19:14;00:23	2022-10-02T16:07Z;04:12;00:05
2022-10-02T13:25Z;04:15;00:09	2022-10-02T13:47Z;19:39;00:24	2022-10-02T16:07Z;04:18;00:05
2022-10-02T13:25Z;04:23;00:08	2022-10-02T13:48Z;20:06;00:26	2022-10-02T16:07Z;04:23;00:04
2022-10-02T13:25Z;04:33;00:09	2022-10-02T13:48Z;20:34;00:27	2022-10-02T16:07Z;04:28;00:05
2022-10-02T13:25Z;04:40;00:07	2022-10-02T13:48Z;20:59;00:25	2022-10-02T16:07Z;04:33;00:04
2022-10-02T13:25Z;04:47;00:07	2022-10-02T13:49Z;21:27;00:28	2022-10-02T16:07Z;04:37;00:04
2022-10-02T13:26Z;04:55;00:07	2022-10-02T13:49Z;21:56;00:28	2022-10-02T16:07Z;04:42;00:04
2022-10-02T13:26Z;05:06;00:10	2022-10-02T13:50Z;22:22;00:25	2022-10-02T16:08Z;04:47;00:04
2022-10-02T13:26Z;05:13;00:07	2022-10-02T13:50Z;22:46;00:24	2022-10-02T16:08Z;04:52;00:04
2022-10-02T13:26Z;05:21;00:07	2022-10-02T13:51Z;23:10;00:23	2022-10-02T16:08Z;04:57;00:04
2022-10-02T13:26Z;05:28;00:06	2022-10-02T13:51Z;23:37;00:26	2022-10-02T16:08Z;05:02;00:04
